ORDER_ID,PICKER_ID,NUM_ITEMS
58684963,45826,1.0
57408650,45826,2.0
64921800,69280,5.0
64921800,69280,5.0
21533783,45826,10.0
42889947,45565,4.0
85270345,45565,3.0
35306444,45565,1.0
76793609,69280,5.0
61045592,37113,1.0
91020833,31810,21.0
91020833,31810,21.0
53712978,69280,2.0
32107882,20474,21.0
60774528,45565,4.0
16677366,69280,1.0
10361941,20474,4.0
10361941,20474,4.0
15623270,31810,27.0
93616213,87073,4.0
76175283,20474,3.0
95283649,20474,16.0
11652518,45565,21.0
61849055,87073,11.0
73546080,69280,9.0
77288033,69280,10.0
33411865,45565,17.0
43536028,54860,2.0
53326628,54860,13.0
79745145,31810,20.0
81900928,69280,5.0
86787561,69280,11.0
86787561,69280,11.0
56066978,54860,27.0
56066978,54860,27.0
84493548,20474,25.0
92997910,87073,11.0
81805873,69280,17.0
97508159,69280,20.0
85498325,45565,7.0
53838653,31810,14.0
53838653,31810,14.0
31593877,20474,3.0
32052958,45565,11.0
96261630,54860,1.0
87089037,31810,24.0
79489851,54860,24.0
85294260,87073,7.0
23817125,87073,1.0
62046440,37113,1.0
64268070,37113,40.0
70743941,45565,2.0
23350798,45826,7.0
62659894,45826,18.0
62723827,45565,2.0
62678539,45565,15.0
51098827,69280,2.0
97226875,69280,6.0
38622158,69280,10.0
30418260,45826,7.0
81591912,45565,5.0
18660828,54860,3.0
94075004,45565,5.0
84775282,54860,4.0
45952481,45826,7.0
97001132,31810,27.0
44863409,69280,12.0
19388764,20474,15.0
31759837,54860,13.0
47900557,45565,30.0
40967557,54860,5.0
12704097,37113,7.0
70667282,20474,3.0
94144950,45826,15.0
78540382,37113,30.0
97051504,45826,12.0
87111720,54860,1.0
12677586,54860,14.0
24434825,87073,1.0
24434825,87073,1.0
24434825,87073,1.0
87150180,87073,19.0
71085075,31810,3.0
22717904,45565,1.0
85956142,31810,4.0
21621401,37113,14.0
41251938,45826,4.0
54912317,20474,20.0
36891080,54860,2.0
36891080,54860,2.0
42719835,69280,1.0
20759011,87073,14.0
20759011,87073,14.0
34086515,45826,29.0
23373772,31810,22.0
94724373,69280,4.0
31010841,97698,8.0
80878393,37113,2.0
51253625,71305,7.0
59231149,53600,5.0
29607743,43646,5.0
38944776,87073,8.0
99753327,20474,1.0
53941236,97698,1.0
69238603,45826,10.0
81918501,31810,7.0
62840326,45826,2.0
87872822,43646,16.0
12600072,97698,4.0
84977512,53600,27.0
40847813,97698,2.0
26775916,60497,6.0
99072329,12237,9.0
99072329,12237,9.0
99072329,12237,9.0
99072329,12237,9.0
99072329,12237,9.0
99072329,12237,9.0
99072329,12237,9.0
67141685,60497,1.0
50441182,74695,21.0
89403150,29995,1.0
83973452,29995,46.0
54918602,97698,3.0
13908379,12237,27.0
47046363,12237,7.0
91168552,74695,3.0
91168552,74695,3.0
90710660,74695,11.0
51309380,53600,29.0
51309380,53600,29.0
51309380,53600,29.0
51309380,53600,29.0
74743480,74695,16.0
80917091,53600,13.0
74079548,53600,15.0
54043888,12237,11.0
54043888,12237,11.0
54043888,12237,11.0
29696870,12237,5.0
50671550,12237,1.0
72161426,12237,3.0
82591246,60497,4.0
52516686,74695,1.0
65188558,74695,2.0
74430627,74695,6.0
71431894,74695,4.0
21514031,74695,39.0
88568164,12237,9.0
88568164,12237,9.0
27761998,71305,10.0
37096493,71305,13.0
59743106,29995,11.0
50460986,60497,3.0
50460986,60497,3.0
68922247,60497,4.0
16873224,60497,14.0
77490072,12237,3.0
57585455,12237,7.0
87946293,53600,7.0
43028113,12237,17.0
12029616,60497,8.0
93129078,53600,20.0
93928903,12237,6.0
26390655,60497,12.0
49185544,60497,14.0
26685614,71305,9.0
81200471,12237,8.0
28214865,71305,1.0
11199295,43646,16.0
60088421,71305,2.0
40923529,12237,3.0
52163066,53600,10.0
56002600,71305,28.0
99659642,53600,3.0
36669348,53600,13.0
47186404,12237,5.0
81695329,60497,22.0
89783304,97698,8.0
62691793,97698,6.0
18208826,97698,4.0
82861384,97698,1.0
29455682,97698,3.0
78863470,97698,28.0
78863470,97698,28.0
78863470,97698,28.0
38329731,74695,23.0
19595037,12237,9.0
17072926,29995,17.0
40366050,74695,14.0
96952904,97698,2.0
68026115,12237,7.0
72164740,43646,4.0
48649758,43646,16.0
64724983,53600,10.0
95733167,53600,7.0
67564589,71305,18.0
55745294,53600,3.0
37723674,12237,15.0
63079910,97698,12.0
75908053,53600,12.0
69611363,71305,
82556324,71305,7.0
77701186,60497,8.0
25670467,53600,4.0
99299454,12237,4.0
99299454,12237,4.0
99299454,12237,4.0
30951483,12237,8.0
31793380,53600,7.0
93615534,74695,13.0
96705366,29995,14.0
19652083,29995,10.0
52083329,29995,1.0
50556163,29995,10.0
71761428,29995,3.0
19027418,29995,2.0
79273775,29995,6.0
75104507,71305,33.0
52728011,97698,7.0
75193922,12237,21.0
64220191,29995,5.0
28373389,74695,14.0
39136976,29995,5.0
57183016,74695,5.0
74849854,53600,14.0
98816385,53600,5.0
63807814,74695,23.0
65416726,53600,3.0
66651430,53600,10.0
81127681,97698,2.0
53471864,71305,5.0
19923244,60497,9.0
79357202,43646,6.0
38421415,53600,1.0
90969656,53600,10.0
63954412,97698,3.0
35764859,28914,2.0
27068018,28914,7.0
15916174,97698,8.0
39478229,97698,36.0
12826456,97698,10.0
63473895,28914,1.0
76365789,28914,7.0
92545571,28914,6.0
62014236,71305,18.0
93632526,28914,4.0
14437330,28914,1.0
15225900,28914,7.0
80172772,74695,5.0
98722699,12237,11.0
62533191,12237,10.0
29399948,12237,12.0
25241222,12237,7.0
50937147,74695,9.0
59709086,60497,1.0
99294069,60497,15.0
45813915,60497,15.0
92144559,60497,21.0
64600150,53600,3.0
77697623,71305,6.0
87166988,29995,1.0
75089811,29995,4.0
23012164,29995,2.0
69660289,29995,7.0
60158103,74695,9.0
19576456,74695,2.0
56386848,74695,1.0
99236497,71305,3.0
96071403,71305,1.0
96071403,71305,1.0
28821665,71305,6.0
27403217,12237,5.0
65799944,43646,1.0
19040435,54860,6.0
26769676,54860,2.0
15460628,68367,9.0
39504579,68367,25.0
71593846,54860,8.0
12115638,54860,4.0
33476132,54860,19.0
90392860,68367,7.0
20043362,45826,2.0
62334184,45826,22.0
62334184,45826,22.0
62334184,45826,22.0
62334184,45826,22.0
62334184,45826,22.0
62334184,45826,22.0
62334184,45826,22.0
42253855,44267,2.0
37667700,44267,20.0
37667700,44267,20.0
11745453,87073,8.0
32184111,45826,8.0
64933797,31810,16.0
19219908,69280,12.0
64621473,31810,3.0
98053002,31810,6.0
76694514,31810,16.0
49192194,44267,6.0
70016260,44267,28.0
64028430,44267,5.0
24963305,69280,6.0
42973577,68367,9.0
44867376,87073,15.0
28396383,69280,17.0
28396383,69280,17.0
28396383,69280,17.0
72905972,54860,19.0
66092466,45826,9.0
24472408,31810,23.0
87761848,68367,4.0
66779328,87073,36.0
66779328,87073,36.0
18446937,31810,6.0
35098978,69280,12.0
76190818,87073,9.0
18527552,45826,15.0
10895785,68367,6.0
71822150,68367,9.0
14657999,68367,10.0
14580091,68367,1.0
22148368,68367,24.0
13428215,69280,22.0
13428215,69280,22.0
76345256,54860,17.0
60511083,68367,10.0
51372389,54860,2.0
65800270,54860,1.0
35136211,68367,9.0
27552138,54860,13.0
64350955,69280,11.0
17831695,31810,1.0
57672107,45826,3.0
86898211,45826,2.0
64187032,31810,8.0
23693240,31810,
85917970,31810,
61712276,45826,1.0
56471805,31810,24.0
77995567,68367,5.0
80980101,68367,8.0
69048123,68367,1.0
79656892,68367,2.0
99617885,68367,11.0
99617885,68367,11.0
10237336,31810,5.0
33274903,54860,1.0
86040402,31810,1.0
76571100,54860,13.0
46680953,54860,6.0
46680953,54860,6.0
13458550,68367,5.0
42632126,54860,9.0
95311581,68367,1.0
46467178,31810,6.0
66647599,31810,13.0
26546045,69280,4.0
26546045,69280,4.0
26546045,69280,4.0
56970894,31810,2.0
42528775,31810,8.0
42528775,31810,8.0
41090331,31810,10.0
23093029,68367,5.0
11293450,68367,13.0
52232195,69280,3.0
36276969,69280,11.0
47304608,69280,5.0
12532273,69280,3.0
